Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
150 20150424 20:50:53 95 0 4 0 0 0 0 0 100 1128 2402 0 293 2 2.86 2.65 2.55 2 0 4016700 3750812 265888 0 38128 2508328 43116 47868 1138928 1864444 0 8120316 328 8119988 0 0 84 0 0 2419212 20536 1 8356 0 0 0 0 9304 22 29 11 35 0 0 0 0 0 151 0 151 20536 1 20537 10 0 10
160 20150424 20:51:03 96 0 3 0 0 0 0 0 100 1015 2023 0 293 2 2.81 2.64 2.55 2 0 4016700 3749192 267508 0 38136 2506860 43108 47868 1139000 1864400 0 8120316 328 8119988 0 0 84 0 0 2417720 16733 4 8743 0 0 0 0 9292 20 23 11 27 0 0 0 0 0 129 0 129 16733 4 16737 2 0 3
170 20150424 20:51:13 96 0 4 0 0 0 0 0 100 1100 2121 1 293 2 2.69 2.62 2.55 2 0 4016700 3764460 252240 0 38136 2521844 43136 47868 1138596 1864100 0 8120316 328 8119988 0 0 84 0 0 2432680 16885 3 9946 0 0 0 0 9316 42 43 36 43 0 0 0 0 0 127 0 128 16885 3 16888 5 0 5
180 20150424 20:51:23 96 0 3 0 0 0 0 0 100 1045 2052 0 293 2 2.58 2.60 2.54 2 0 4016700 3793344 223356 0 38152 2551392 43116 47868 1138136 1863484 0 8120316 328 8119988 0 0 80 0 0 2462156 16808 5 9292 0 0 0 0 9300 28 26 25 26 0 0 0 0 0 130 1 131 16808 5 16813 2 0 2
190 20150424 20:51:33 96 0 4 0 0 0 0 0 100 1038 2034 0 293 2 2.49 2.58 2.53 2 0 4016700 3755028 261672 0 38152 2512828 43128 47868 1138560 1863932 0 8120316 328 8119988 0 0 72 0 0 2423836 16607 6 10503 0 0 0 0 9304 25 26 18 28 0 0 0 0 0 128 0 129 16607 6 16614 2 0 2
200 20150424 20:51:43 95 0 4 0 0 0 0 0 100 1064 2087 1 294 2 2.42 2.56 2.53 2 0 4016700 3763824 252876 0 38152 2522380 43100 47868 1138536 1864192 0 8120316 328 8119988 0 0 72 0 0 2433196 17192 1 11548 0 0 0 0 9292 44 44 38 43 0 0 0 0 0 133 0 134 17192 1 17194 2 0 2
210 20150424 20:51:53 96 0 4 0 0 0 0 0 100 1054 2059 1 293 2 2.43 2.56 2.53 2 0 4016700 3756880 259820 0 38152 2515524 43124 47868 1137836 1863448 0 8120316 328 8119988 0 0 76 0 0 2426184 16964 6 12476 0 0 0 0 9304 17 28 2 38 0 0 0 0 0 130 1 131 16964 6 16970 3 0 3
220 20150424 20:52:03 96 0 4 0 0 0 0 0 100 1072 2160 0 293 2 2.60 2.59 2.54 2 0 4016700 3802512 214188 0 38160 2560008 43100 47868 1139160 1864732 0 8120316 328 8119988 0 0 80 0 0 2470752 17960 2 11246 0 0 0 0 9292 12 6 11 1 0 0 0 0 0 138 0 138 17960 2 17962 3 0 3
230 20150424 20:52:13 96 0 4 0 0 0 0 0 100 1029 2050 0 293 2 2.51 2.57 2.53 2 0 4016700 3775364 241336 0 38152 2533020 43120 47868 1139488 1865008 0 8120316 328 8119988 0 0 72 0 0 2443692 17052 3 10576 0 0 0 0 9300 14 20 2 27 0 0 0 0 0 131 0 132 17052 3 17055 3 0 3
240 20150424 20:52:23 96 0 3 0 0 0 0 0 100 1059 2105 0 293 2 2.43 2.55 2.53 2 0 4016700 3756764 259936 0 38152 2515288 43132 47868 1137884 1863448 0 8120316 328 8119988 0 0 72 0 0 2426176 17304 3 9612 0 0 0 0 9312 28 15 36 2 0 0 0 0 0 135 0 135 17304 3 17307 1 0 1
