Sec Date Time CPUUser CPUNice CPUSys CPUWait CPUIrq CPUSoft CPUSteal CPUIdle CPUTotl CPUIntrpt/sec CPUCtx/sec CPUProc/sec CPUProcQue CPUProcRun CPUL-Avg1 CPUL-Avg5 CPUL-Avg15 CPURunTot CPUBlkTot MEMTot MEMUsed MEMFree MEMShared MEMBuf MEMCached MEMSlab MEMMap MEMAnon MEMCommit MEMLocked MEMSwapTot MEMSwapUsed MEMSwapFree MEMSwapIn MEMSwapOut MEMDirty MEMClean MEMLaundry MEMInactive MEMPageIn MEMPageOut MEMPageFaults MEMPageMajFaults MEMHugeTotal MEMHugeFree MEMHugeRsvd MEMSUnreclaim NETRxPktTot NETTxPktTot NETRxKBTot NETTxKBTot NETRxCmpTot NETRxMltTot NETTxCmpTot NETRxErrsTot NETTxErrsTot DSKReadTot DSKWriteTot DSKOpsTot DSKReadKBTot DSKWriteKBTot DSKKbTot DSKReadMrgTot DSKWriteMrgTot DSKMrgTot
150 20150425 13:32:43 84 0 4 2 0 2 0 8 90 5220 2539 0 301 2 4.73 4.33 4.00 1 0 4016700 3747940 268760 0 58952 2463568 41804 48012 1163724 1866980 0 8120316 1052 8119264 0 0 68 0 0 2342120 28980 3 8966 0 0 0 0 9276 3651 8140 253 12048 0 0 0 0 0 198 0 198 29096 3 29098 30 0 30
160 20150425 13:32:53 87 0 4 3 0 2 0 4 93 5217 2528 0 301 2 4.69 4.34 4.01 2 0 4016700 3761232 255468 0 58960 2473644 41832 48012 1164652 1867884 0 8120316 1052 8119264 0 0 48 0 0 2352240 29545 4 9993 0 0 0 0 9296 3669 8148 269 12048 0 0 0 0 0 198 1 199 29532 4 29537 33 0 34
170 20150425 13:33:03 71 0 3 6 0 2 0 17 77 5235 2499 1 299 2 4.60 4.33 4.01 3 4 4016700 3753776 262924 0 58960 2466500 41840 48012 1164652 1867860 0 8120316 1052 8119264 0 0 76 0 0 2345144 26322 5 8146 0 0 0 0 9304 3695 8152 289 12045 0 0 0 0 0 181 1 182 26206 5 26212 25 0 25
180 20150425 13:33:13 87 0 4 2 0 2 0 4 94 5198 2514 1 301 2 4.35 4.28 4.00 2 0 4016700 3759488 257212 0 58968 2471192 41824 48012 1165772 1868776 0 8120316 1052 8119264 0 0 80 0 0 2349692 29144 1 10473 0 0 0 0 9296 3671 8143 252 12048 0 0 0 0 0 197 0 197 29234 1 29235 32 0 32
190 20150425 13:33:23 78 0 3 9 0 2 0 8 83 5254 2472 0 301 2 4.08 4.22 3.98 2 5 4016700 3769804 246896 0 58968 2484760 41852 48012 1164116 1867276 0 8120316 1052 8119264 0 0 72 0 0 2363308 29040 2 7161 0 0 0 0 9316 3695 8156 277 12044 0 0 0 0 0 196 0 196 28925 2 28926 32 0 32
200 20150425 13:33:33 68 0 3 20 0 2 0 7 73 5226 2348 1 300 2 4.52 4.32 4.02 2 7 4016700 3789512 227188 0 58960 2503120 41864 48012 1164284 1867564 0 8120316 1052 8119264 0 0 44 0 0 2381688 26903 6 6930 0 0 0 0 9324 3709 8175 291 12047 0 0 0 0 0 182 1 183 26903 6 26908 28 0 29
210 20150425 13:33:43 85 0 4 9 0 2 0 0 91 5185 2304 0 300 1 4.98 4.42 4.05 1 3 4016700 3770020 246680 0 58968 2487788 41824 48012 1161584 1864728 0 8120316 1052 8119264 0 0 60 0 0 2366340 28429 5 10831 0 0 0 0 9296 3712 8184 254 12047 0 0 0 0 0 189 1 189 28468 5 28473 34 0 34
220 20150425 13:33:53 76 0 4 18 0 2 0 0 82 5173 2197 0 301 2 5.60 4.57 4.11 4 7 4016700 3749320 267380 0 58960 2464836 41836 48012 1162924 1866440 0 8120316 1052 8119264 0 0 60 0 0 2343300 27044 3 9910 0 0 0 0 9300 3723 8196 256 12047 0 0 0 0 0 182 0 183 26980 3 26983 30 0 30
230 20150425 13:34:03 67 0 3 21 0 2 0 7 73 5144 2160 1 301 1 5.81 4.65 4.14 1 2 4016700 3808476 208224 0 58960 2525724 41824 48012 1161404 1864704 0 8120316 1052 8119264 0 0 76 0 0 2404360 25449 2 8845 0 0 0 0 9296 3746 8202 291 12047 0 0 0 0 0 173 0 174 25538 2 25541 26 0 26
240 20150425 13:34:13 82 0 4 12 0 2 0 0 88 5184 2260 0 301 1 5.76 4.68 4.15 1 4 4016700 3760612 256088 0 58952 2476172 41832 48012 1164512 1867728 0 8120316 1052 8119264 0 0 72 0 0 2354776 28493 6 11684 0 0 0 0 9296 3668 8156 251 12048 0 0 0 0 0 189 1 190 28480 6 28487 34 0 34
